channelID	time	energy	tot
47	687808990684	9.49645	299316
45	687808993997	2.45002	301002
342	687809008246	1.45529	306753
47	687865902829	0.850891	302170
342	687865899616	1.52044	305383
343	687989766962	13.6332	298037
46	687989771753	2.69945	303247
349	688000267250	4.68251	302749
35	688000268788	4.51598	301212
342	688127369940	2.49367	305059
47	688127371657	1.31389	303343
46	688189983751	3.4737	301249
343	688189982939	5.51368	302060
349	688244828829	12.5587	301170
35	688244837114	1.72131	302886
361	688244848333	0.93742	306667
35	688250267278	7.4668	297721
349	688250267250	3.607	302749
349	688710655743	2.40181	304256
35	688710665660	1.83242	304339
46	688749701639	4.35786	303360
343	688749700756	20.0552	299243
35	688844262217	3.31524	302782
349	688844262281	3.82835	302719
46	688845976071	1.82002	303928
343	688845974183	3.13443	305816
35	689007392449	1.75541	302550
349	689007391483	1.49083	303516
47	689116388325	2.38707	301675
342	689116396790	1.46803	303209
343	689133848121	3.52776	301879
46	689133848406	5.51505	301593
35	689179801794	2.78682	303206
349	689179799356	2.81202	305644
349	689254206776	1.95928	303223
35	689254204980	7.83833	300020
47	689275519205	2.5757	305794
342	689275518122	4.61875	301877
349	689341670148	5.62821	299851
35	689341675294	1.54372	304706
47	689407920918	18.6163	299081
342	689407924426	2.64975	305574
35	689407924909	2.19205	305090
45	689407933740	1.46037	306259
46	689572528727	4.54946	301272
343	689572531489	1.59457	303511
35	689617373547	3.31416	301453
349	689617372311	6.66953	302688
35	689788837510	3.51379	302489
349	689788838638	1.76963	306362
343	689880659265	5.17198	300735
46	689880667885	1.48021	302114
47	689906747288	8.91504	297711
342	689906759321	1.20362	305678
47	690228698584	4.47964	301415
342	690228697917	2.62475	302082
47	690391284629	4.27472	300371
342	690391283342	7.71557	301657
342	690478911868	2.71861	303131
47	690478916005	1.59839	303994
342	690489116778	4.99779	303222
47	690489117254	9.11117	297746
343	690586999099	5.07045	300900
46	690587004321	2.20738	305678
46	690760730872	4.53108	299128
343	690760731203	4.32594	303797
35	690780856765	4.70831	303234
349	690780866781	1.12803	303219
342	690811748502	8.4552	301498
47	690811749551	7.62825	300449
46	690831410987	26.728	299013
343	690831412067	6.3003	302932
46	690882269524	3.25649	300476
343	690882267844	4.79496	302155
46	691081997339	4.08336	302660
343	691081996941	3.70393	303058
342	691085436904	3.36245	303096
47	691085444131	1.01566	305868
35	691246575996	3.90898	304004
349	691246575332	4.51571	304667
47	691391381912	8.71542	298087
342	691391383970	3.01155	306029
47	691413197410	3.21462	302590
342	691413196214	6.58676	298785
35	691438027429	1.76221	302570
349	691438029496	1.51841	305503
47	691530781548	4.46005	298451
342	691530789648	1.10856	305351
349	691734607109	2.04071	302891
35	691734613046	1.45197	301954
342	691765499044	4.51274	300955
47	691765499060	9.21254	300940
47	691795402319	2.79602	302681
342	691795400632	10.4305	299367
47	691797232530	2.71445	302469
342	691797231141	3.44682	303859
